tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 212.000,Nogueira,Barretos,SP,473m²,Jose Carlos Zanzim,23/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-a-venda-473-m-por-r-212-000-00-nogueira-barretos-sp-1037660843,23/Mar/2023,13:31:24
Terrenos,,R$ 80.000,Nobre Ville,Barretos,SP,200m²,Alex S.,20/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-bairro-nobre-ville-1-5km-do-hospital-do-amor-1159219027,23/Mar/2023,13:31:24
Terrenos,,R$ 330.000,Jardim Allah,Barretos,SP,443m²,ARBO IMÓVEIS,08/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-a-venda-443-m-por-r-330-000-00-jardim-allah-barretos-sp-1156249904,23/Mar/2023,13:31:24
Terrenos,,R$ 215.000,Nogueira,Barretos,SP,517m²,Fabiano,10/02/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-1145670514,23/Mar/2023,13:31:24
Terrenos,,R$ 1.500,Centro,Barretos,SP,144m²,Bancoimóvel,17/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-para-locacao-e-venda-1091738686,23/Mar/2023,13:31:24
Terrenos,,R$ 160.000,Exposição,Barretos,SP,,monica canto,08/02/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-pronto-para-investimento-de-alto-rendimento-1144269271,23/Mar/2023,13:31:24
Terrenos,,R$ 108.000,Cidade Jardim,Barretos,SP,300m²,Marcia Corretora e Avaliadora de Imóveis,06/02/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/lotes-de-300-m2-cidade-jardim-barretos-sp-1143408589,23/Mar/2023,13:31:24
Terrenos,,R$ 155.000,Centro,Barretos,SP,219m²,Frederico,29/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-219mts-1140129612,23/Mar/2023,13:31:24
Terrenos,,R$ 220.000,Centro,Barretos,SP,330m²,Maurício,26/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-em-barretos-com-boa-localizacao-1138817156,23/Mar/2023,13:31:24
Terrenos,,R$ 260.000,Bairro Jardim Anastácio,Barretos,SP,500m²,COMPACTO IMOBILIÁRIA LTDA,16/09/2022,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-padrao-em-barretos-1084983383,23/Mar/2023,13:31:24
Terrenos,,R$ 215.000,Centro,Barretos,SP,330m²,Conrado,24/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-em-barretos-10x33-330m-1137956582,23/Mar/2023,13:31:24
Terrenos,,R$ 280.000,Jardim Caiçara,Barretos,SP,2500m²,Willian Florêncio,27/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/chacara-proximo-ao-parque-do-peao-1139255392,23/Mar/2023,13:31:24
Terrenos,,R$ 14.144.000,Diva,Barretos,SP,20204m²,IMOBILIARIA TRADE,23/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/area-a-venda-20204-m-por-r-14-144-000-00-nova-america-barretos-sp-1163023791,23/Mar/2023,13:31:25
Terrenos,,R$ 264,Aeroporto,Barretos,SP,456m²,Thalita,01/02/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/vendo-terreno-em-barretos-1141430789,23/Mar/2023,13:31:25
Terrenos,,R$ 20.000,Residencial Mais Parque,Barretos,SP,200m²,Schentenalisson,10/02/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-mais-parque-1145594152,23/Mar/2023,13:31:25
Terrenos,,R$ 200.000,Centro,Barretos,SP,457m²,diegohff,24/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-em-barretos-centro-com-457-metros-por-200mil-1137908314,23/Mar/2023,13:31:25
