tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-terreno-com-excelente-localizacao-1163205807,24/Mar/2023,05:37:24
Terrenos,,R$ 50.000,,Bom Jesus dos Perdões,SP,843m²,JoseRoberto26,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-800m-em-nazare-paulista-sp-1163219264,24/Mar/2023,05:37:24
Terrenos,,R$ 265.000,,Bom Jesus dos Perdões,SP,699m²,PLANEJAMENTO IMOBILIARIO ATIBAIA E REGIAO LTDA - ME,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-jardim-real-bom-jesus-dos-perdoes-sp-1100085511,24/Mar/2023,05:37:24
Terrenos,,R$ 129.000,,Bom Jesus dos Perdões,SP,200m²,FPG Imóveis,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-lamismar-ii-bom-jesus-dos-perdoes-sp-1163269272,24/Mar/2023,05:37:24
Terrenos,,R$ 50.000,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lp-vendo-terreno-demarcados-e-planos-1163212388,24/Mar/2023,05:37:24
Terrenos,,R$ 49.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-terreno-bem-localizado-em-nazare-paulista-1163205204,24/Mar/2023,05:37:24
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-terreno-com-otima-topografia-1163204671,24/Mar/2023,05:37:24
Terrenos,,R$ 49.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/tb-vendo-terreno-demarcados-e-plano-1163203192,24/Mar/2023,05:37:24
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-terreno-bem-localizado-em-nazare-paulista-1163164601,24/Mar/2023,05:37:24
Terrenos,,R$ 49.900,Centro,Bom Jesus dos Perdões,SP,,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/ll-vendo-rapido-lote-para-sua-chacara-proximo-a-represa-1163143307,24/Mar/2023,05:37:24
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-terreno-com-otima-negociacao-1163195080,24/Mar/2023,05:37:24
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lp-vendo-terreno-com-bom-negocio-1163095778,24/Mar/2023,05:37:24
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-terreno-bem-localizado-em-nazare-paulista-1163203210,24/Mar/2023,05:37:24
Terrenos,,R$ 49.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/ec-vendo-terreno-otimo-para-investimentos-venha-conhecer-nosso-local-1163183741,24/Mar/2023,05:37:24
Terrenos,,R$ 200.000,,Bom Jesus dos Perdões,SP,316m²,Gumart,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-terreno-para-venda-com-316m-1107257635,24/Mar/2023,05:37:24
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-terreno-barato-proximo-a-45-min-de-sp-1163204181,24/Mar/2023,05:37:24
Terrenos,,R$ 49.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/jt-vende-se-terreno-a-15-minutos-do-centro-1163165225,24/Mar/2023,05:37:24
Terrenos,,R$ 59.900,Centro,Bom Jesus dos Perdões,SP,600m²,GREEN VALLEY,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vc-vendo-excelente-terreno-100-plano-1163183652,24/Mar/2023,05:37:24
