tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 105.000,Jardim Monte Mor,Botucatu,SP,250m²,Essencial Soluções Imobiliárias,13/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-105-000-00-jardim-iolanda-botucatu-sp-977515277,23/Mar/2023,11:46:23
Venda - casa em rua pública,3,R$ 680.000,Jardim Tropical,Botucatu,SP,733m²,L4S,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-jardim-tropical-de-732-60m-com-3-quartos-1-suite-e-2-garagens-1161566560,23/Mar/2023,11:46:24
Terrenos,,R$ 130.000,Residencial Plaza Martin,Botucatu,SP,250m²,Essencial Soluções Imobiliárias,12/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-130-000-00-residencial-plaza-martin-botucatu-sp-1103159105,23/Mar/2023,11:46:23
Terrenos,,R$ 130.000,Residencial Cedro,Botucatu,SP,343m²,Maria Amélia de Almeida Ramos,12/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-342-m-por-r-130-000-00-residencial-cedro-botucatu-sp-1129258171,23/Mar/2023,11:46:23
Terrenos,,R$ 49.000,Conjunto Habitacional Popular Altos,Botucatu,SP,200m²,Essencial Soluções Imobiliárias,11/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-200-m-por-r-49-000-00-altos-da-serra-botucatu-sp-1113249476,23/Mar/2023,11:46:23
Terrenos,,R$ 100.000,Jardim Centenário,Botucatu,SP,345m²,Essencial Soluções Imobiliárias,10/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-345-m-por-r-100-000-00-jardim-centenario-botucatu-sp-1113226030,23/Mar/2023,11:46:23
Venda - casa em rua pública,3,R$ 300.000,Alto,Botucatu,SP,200m²,L4S,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-alto-de-200-00m-com-3-quartos-e-1-garagem-1161571070,23/Mar/2023,11:46:24
Terrenos,,R$ 100.000,Jardim Ypê,Botucatu,SP,300m²,Essencial Soluções Imobiliárias,13/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-300-m-por-r-100-000-00-jardim-itamarati-botucatu-sp-1113262887,23/Mar/2023,11:46:23
Terrenos,,R$ 495.000,Vale do Sol,Botucatu,SP,1160m²,L4S,08/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-en-condominio-para-venda-em-loteamento-vale-do-sol-de-1159-68m-1156568504,23/Mar/2023,11:46:24
Venda - casa em rua pública,3,R$ 349.000,Jardim Panorama,Botucatu,SP,195m²,L4S,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-jardim-panorama-de-195-00m-com-3-quartos-e-2-garagens-1161571338,23/Mar/2023,11:46:24
Venda - casa em rua pública,3,R$ 230.000,Jardim Aeroporto,Botucatu,SP,80m²,L4S,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-jardim-aeroporto-de-80-00m-com-3-quartos-1-suite-e-2-garagens-1161566397,23/Mar/2023,11:46:24
Terrenos,,R$ 150.000,Bosque I,Botucatu,SP,683m²,Essencial Soluções Imobiliárias,10/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-682-m-por-r-150-000-00-jardim-do-bosque-botucatu-sp-1099160877,23/Mar/2023,11:46:23
Terrenos,,R$ 100.000,Residencial Cedro,Botucatu,SP,250m²,Imobiliária Realize,09/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-100-000-00-residencial-cedro-botucatu-sp-912684435,23/Mar/2023,11:46:23
Terrenos,,R$ 290.000,Park Residencial Convívio,Botucatu,SP,608m²,Imobiliária Realize,12/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-608-m-por-r-290-000-00-park-residencial-convivio-botucatu-sp-964187908,23/Mar/2023,11:46:23
Terrenos,,R$ 84.600,Jardim Botucatu (Rubião Júnior),Botucatu,SP,440m²,USUÁRIO NEWCORE,09/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/lote440m-jardim-botucatu-rubiao-junior-botucatu-1156835249,23/Mar/2023,11:46:23
Venda - casa em rua pública,4,R$ 1.500.000,Centro,Botucatu,SP,648m²,L4S,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-centro-de-648-00m-com-4-quartos-1-suite-e-4-garagens-1161566432,23/Mar/2023,11:46:24
Terrenos,,R$ 180.000,Jardim Itamarati,Botucatu,SP,265m²,Imobiliária Realize,12/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-265-m-por-r-180-000-00-jardim-itamarati-botucatu-sp-1125223773,23/Mar/2023,11:46:23
Terrenos,,R$ 130.000,Jardim Paraíso II,Botucatu,SP,250m²,Imobiliária Realize,09/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-a-venda-250-m-por-r-130-000-00-jardim-paraiso-ii-botucatu-sp-912684434,23/Mar/2023,11:46:23
Venda - casa em rua pública,4,R$ 280.000,Residencial Plaza Martin,Botucatu,SP,202m²,L4S,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-residencial-plaza-martin-de-202-00m-com-4-quartos-e-2-garagens-1161566509,23/Mar/2023,11:46:24
Venda - casa em rua pública,3,R$ 460.000,Jardim Paraíso,Botucatu,SP,250m²,L4S,20/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-jardim-paraiso-de-250-00m-com-3-quartos-2-suites-e-3-garagens-1161566460,23/Mar/2023,11:46:24
Venda - casa em rua pública,3,R$ 430.000,Vila Maria,Botucatu,SP,306m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-em-vila-maria-de-306-45m-com-3-quartos-e-2-garagens-1160761655,23/Mar/2023,11:46:24
Terrenos,,R$ 350.000,Residencial Parque Laguna I,Botucatu,SP,1000m²,L4S,08/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-venda-em-residencial-parque-laguna-i-de-1000-00m-1156564283,23/Mar/2023,11:46:24
Terrenos,,R$ 210.000,Altos do Paraíso,Botucatu,SP,391m²,L4S,08/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-venda-em-altos-do-paraiso-de-391-00m-1156556888,23/Mar/2023,11:46:24
Terrenos,,R$ 150.000,Vila Lizzeti,Botucatu,SP,260m²,Essencial Soluções Imobiliárias,11/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terrenos-a-venda-260-m-por-r-150-000-bairro-alto-botucatu-sp-1157633335,23/Mar/2023,11:46:23
Terrenos,,R$ 230.000,Jardim Botucatu (Rubião Júnior),Botucatu,SP,630m²,Essencial Soluções Imobiliárias,11/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-para-fins-comerciais-a-venda-630-m-por-r-230-000-rubiao-junior-botucatu-sp-970560396,23/Mar/2023,11:46:23
Venda - casa em rua pública,3,R$ 310.000,Residencial Ouro Verde,Botucatu,SP,72m²,Maria Amélia de Almeida Ramos,17/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-com-3-dormitorios-a-venda-72-m-por-r-310-000-00-residencial-ouro-verde-botucat-1109042186,23/Mar/2023,11:46:24
