tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 85.000,Centro,Cafelândia,SP,280m²,and.bencici,17/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-280-m2-cafelandia-sp-1160813442,23/Mar/2023,11:53:57
Terrenos,,R$ 82.000,Portal Fazendinha,Cafelândia,SP,180m²,Tiago,15/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-portal-da-fazendinha-1159383780,23/Mar/2023,11:53:57
Terrenos,,R$ 58.000,Centro,Cafelândia,SP,144m²,julimarmachado1,06/02/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-centro-cafelandia-sp-1143522314,23/Mar/2023,11:53:58
Venda - casa em rua pública,3,R$ 171.639,,Cafelândia,SP,150m²,Fernandes Neto,21/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/casa-para-venda-com-3-quartos-pena-cafelandia-sp-1128782178,23/Mar/2023,11:53:58
Terrenos,,R$ 45.000,Centro,Cafelândia,SP,260m²,Jonathan Schneider,07/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/terrenos/terreno-10x26-no-pena-av-custodio-soares-da-silva-1156084385,23/Mar/2023,11:53:58
Venda - casa em rua pública,3,R$ 171.639,Pena,Cafelândia,SP,150m²,Real FG Soluções Imobiliárias Creci 30838-J-SP,21/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/cafelandia-sp-pena-1162105796,23/Mar/2023,11:53:58
Venda - casa em rua pública,3,R$ 171.639,Pena,Cafelândia,SP,625m²,SRAMOS IMOVEIS,17/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/cafelandia-pena-oportunidade-unica-em-cafelandia-sp-tipo-casa-negociacao-venda-1160597274,23/Mar/2023,11:53:58
Venda - casa em rua pública,3,R$ 171.639,Pena,Cafelândia,SP,625m²,BJFlores Imóveis,17/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/cafelandia-pena-oportunidade-unica-em-cafelandia-sp-tipo-casa-negociacao-venda-1160439857,23/Mar/2023,11:53:58
Venda - casa em rua pública,3,R$ 280.000,,Cafelândia,SP,200m²,Rodolfo Sanchez Branco,15/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/vendo-casa-1159701299,23/Mar/2023,11:53:58
Venda - casa em rua pública,3,R$ 171.639,Pena,Cafelândia,SP,625m²,Anderson e Jacqueline Imobiliaria e Administração de Bens e Imóveis LTDA,17/03/2023,https://sp.olx.com.br/regiao-de-bauru-e-marilia/imoveis/cafelandia-casa-padrao-br---pena-1160459314,23/Mar/2023,11:53:58
