tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 55.000,Jardim Vale das Virtudes,São Paulo,SP,300m²,Juninho Junior,22/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-5x30-parelheiros-vargem-grande-1162714315,24/Mar/2023,00:58:49
Terrenos,,R$ 395.000,Jardim Paris,São Paulo,SP,220m²,Guaíra Negócios Imobiliários - 21699-J-SP,22/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-paris-sao-paulo-sp-1136842529,24/Mar/2023,00:58:56
Terrenos,,R$ 780.000,Parque Munhoz,São Paulo,SP,,OLC IMOVEIS ASSESSORIA E ADMINISTRACAO IMOBILIARIA - EIRELI - ME,17/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-1721m-dentro-do-horto-do-ipe-zona-sul-sp-1134394472,24/Mar/2023,00:58:56
Terrenos,,R$ 1.000.000,Jardim Avenida,São Paulo,SP,10m²,NOVA SOLAR EMPREENDIMENTOS IMOBILIARIOS S/S LTDA - ME,12/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-631-m-por-r-900-000-00-jardim-avenida-sao-paulo-sp-1036545330,24/Mar/2023,00:58:56
Terrenos,,R$ 390.000,Jardim Umarizal,São Paulo,SP,200m²,Lopes Condovel Vila Mariana,10/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-2-casas-com-vaga-de-garagem-na-regiao-de-campo-limpo-venda-1131560752,24/Mar/2023,00:58:56
Terrenos,,R$ 3.000,Vila Prel,São Paulo,SP,450m²,BM Imóveis e Administração Ltda,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/locacao-terreno-com-450-00-m-vila-prel-sao-paulo-1110876339,24/Mar/2023,00:58:49
Terrenos,,R$ 8.750.000,Parque Munhoz,São Paulo,SP,5069m²,CDO Empreendimentos imobiliários Ltda.,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/horto-do-ype-terreno-para-incorporacao-997604337,24/Mar/2023,00:58:49
Terrenos,,R$ 650.000,Parque Arariba,São Paulo,SP,250m²,NRE Imóveis,20/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-parque-arariba-1148936595,24/Mar/2023,00:58:49
Terrenos,,R$ 500.000,Jardim das Palmas,São Paulo,SP,318m²,DOM VALÉRIO IMÓVEIS,21/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-318m2-no-jd-das-palmas-para-construcao-1022410955,24/Mar/2023,00:58:50
Terrenos,,R$ 12.000,Jardim Umarizal,São Paulo,SP,1000m²,Patamar Imobiliária Sociedade Simples ltda,02/12/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-jardim-umarizal-sao-paulo-994932304,24/Mar/2023,00:58:56
