tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 16.000.000,Cidade Jardim,São Paulo,SP,3100m²,B E G IMOVEIS,10/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-3100-m-por-r-16-000-000-00-cidade-jardim-sao-paulo-sp-1157228785,24/Mar/2023,01:22:07
Terrenos,,R$ 16.000.000,Cidade Jardim,São Paulo,SP,976m²,EDSON BRASIL DA SILVA,16/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/casa-com-terreno-para-venda-de-3-100m-na-regiao-da-cidade-jardim-sao-paulo-sp-1122613631,24/Mar/2023,01:22:07
Terrenos,,R$ 3.900.000,Cidade Jardim,São Paulo,SP,1300m²,PAX IMOVEIS - NEGOCIOS IMOBILIARIOS LTDA - ME,01/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-bacana-na-rua-dos-platanos-998474284,24/Mar/2023,01:22:07
Terrenos,,R$ 16.000.000,Cidade Jardim,São Paulo,SP,3100m²,FMS IMOVEIS,22/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lindo-terreno-com-casa-para-venda-1136792078,24/Mar/2023,01:22:08
Terrenos,,R$ 16.000.000,Cidade Jardim,São Paulo,SP,3100m²,RESIDENCE FLATS,20/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-venda-possui-3100-metros-quadrados-em-cidade-jardim-sao-paulo-sp-1135572193,24/Mar/2023,01:22:07
Terrenos,,R$ 4.000.000,Cidade Jardim,São Paulo,SP,506m²,Jadar Imóveis Ltda Epp,15/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-na-cidade-jardim-1159349556,24/Mar/2023,01:22:07
Terrenos,,R$ 16.000.000,Cidade Jardim,São Paulo,SP,3100m²,B&G IMOBILIARIA,10/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-3100-m-por-r-16-000-000-cidade-jardim-sao-paulo-sp-1157244025,24/Mar/2023,01:22:07
Terrenos,,R$ 20.000,Cidade Jardim,São Paulo,SP,584m²,COELHO DA FONSECA - JARDINS,05/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-cidade-jardim-1129655911,24/Mar/2023,01:22:08
Terrenos,,R$ 3.250.000,Cidade Jardim,São Paulo,SP,360m²,Lef Properties,16/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-na-cidade-jardim-1159991003,24/Mar/2023,01:22:07
Terrenos,,R$ 2.210.000,Cidade Jardim,São Paulo,SP,552m²,vPALERMO VITRINE DE IMÓVEIS,16/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-melhor-rua-1148128741,24/Mar/2023,01:22:08
Terrenos,,R$ 2.000.000,Cidade Jardim,São Paulo,SP,590m²,LOPES ELITE,21/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-cidade-jardim-1038110924,24/Mar/2023,01:22:08
Terrenos,,R$ 4.750.000,Cidade Jardim,São Paulo,SP,948m²,vPALERMO VITRINE DE IMÓVEIS,16/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-1148152137,24/Mar/2023,01:22:08
Terrenos,,R$ 5.200.000,Cidade Jardim,São Paulo,SP,1281m²,PAX IMOVEIS - NEGOCIOS IMOBILIARIOS LTDA - ME,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-com-projeto-pronto-na-cidade-jardim-998478800,24/Mar/2023,01:22:08
Terrenos,,R$ 2.330.000,Cidade Jardim,São Paulo,SP,778m²,Lef Properties,16/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-cidade-jardim-1148038304,24/Mar/2023,01:22:08
Terrenos,,R$ 2.800.000,Cidade Jardim,São Paulo,SP,516m²,COELHO DA FONSECA - CIDADE JARDIM,12/10/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-cidade-jardim-1095742686,24/Mar/2023,01:22:08
Terrenos,,R$ 1.300.000,Jardim Sílvia (Zona Oeste),São Paulo,SP,700m²,vPALERMO VITRINE DE IMÓVEIS,14/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-20-metros-de-frente-1146906619,24/Mar/2023,01:22:08
Terrenos,,R$ 1.980.000,Cidade Jardim,São Paulo,SP,511m²,vPALERMO VITRINE DE IMÓVEIS,16/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-magnificente-localizacao-unico-1147905177,24/Mar/2023,01:22:08
Terrenos,,R$ 4.500.000,Cidade Jardim,São Paulo,SP,1718m²,vPALERMO VITRINE DE IMÓVEIS,14/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-1718-m--rua-tranquila-com-total-seguranca-1146906615,24/Mar/2023,01:22:08
Terrenos,,R$ 1.980.000,Cidade Jardim,São Paulo,SP,660m²,vPALERMO VITRINE DE IMÓVEIS,16/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-unico-1148057362,24/Mar/2023,01:22:08
Terrenos,,R$ 1.500.000,Jardim Sílvia (Zona Oeste),São Paulo,SP,697m²,vPALERMO VITRINE DE IMÓVEIS,16/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-unico-1148161983,24/Mar/2023,01:22:08
Terrenos,,R$ 15.995.000,Cidade Jardim,São Paulo,SP,3100m²,RESIDENCE FLATS,24/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-terreno-para-venda-com-3100-metros-quadrados-em-cidade-jardim-sao-paulo-sp-1135662546,24/Mar/2023,01:22:08
Terrenos,,R$ 5.130.000,Cidade Jardim,São Paulo,SP,1283m²,COELHO DA FONSECA - CIDADE JARDIM,12/10/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-cidade-jardim-1095743742,24/Mar/2023,01:22:08
Terrenos,,R$ 2.600.000,Cidade Jardim,São Paulo,SP,1403m²,vPALERMO VITRINE DE IMÓVEIS,14/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-cidade-jardim--linda-vista-1147051807,24/Mar/2023,01:22:08
Terrenos,,R$ 2.000.000,Cidade Jardim,São Paulo,SP,590m²,LOPES Morumbi,16/07/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-sao-paulo-cidade-jardim-ref-reo339340-950204974,24/Mar/2023,01:22:08
Terrenos,,R$ 16.000.000,Cidade Jardim,São Paulo,SP,976m²,Galpões Almeida,05/12/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-terreno-para-venda-com-976-metros-quadrados-em-cidade-jardim-sao-paulo-sp-1117882888,24/Mar/2023,01:22:08
Terrenos,,R$ 5.132.000,Cidade Jardim,São Paulo,SP,1283m²,vPALERMO VITRINE DE IMÓVEIS,14/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-2-frentes-1147051808,24/Mar/2023,01:22:08
Terrenos,,R$ 3.000.000,Cidade Jardim,São Paulo,SP,750m²,Lef Properties,09/07/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/otimo-terreno-residencial-cidade-jardim-1055830436,24/Mar/2023,01:22:08
Terrenos,,R$ 4.000.000,Cidade Jardim,São Paulo,SP,1134m²,vPALERMO VITRINE DE IMÓVEIS,14/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/cidade-jardim-unico-1146905031,24/Mar/2023,01:22:08
Terrenos,,R$ 3.000.000,Cidade Jardim,São Paulo,SP,502m²,COELHO DA FONSECA - CIDADE JARDIM,12/10/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/sao-paulo-terreno-padrao-cidade-jardim-1095743070,24/Mar/2023,01:22:08
Venda - casa em rua pública,3,R$ 20.000.000,Cidade Jardim,São Paulo,SP,955m²,PLUS IMÓVEIS,08/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/lindo-imovel-1061824556,24/Mar/2023,01:22:08
Terrenos,,R$ 15.000,Cidade Jardim,São Paulo,SP,585m²,LOPES Morumbi,19/06/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-espetacular-no-bairro-cidade-jardim-o-ultimo-dos-ultimos-1046699069,24/Mar/2023,01:22:08
Terrenos,,R$ 1.900.000,Cidade Jardim,São Paulo,SP,516m²,Jadar Imóveis Ltda Epp,01/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-na-cidade-jardim-1141179665,24/Mar/2023,01:22:08
Terrenos,,R$ 2.300.000,Cidade Jardim,São Paulo,SP,585m²,LOPES Morumbi,19/06/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-espetacular-no-bairro-cidade-jardim-o-ultimo-dos-ultimos-1046699076,24/Mar/2023,01:22:08
Terrenos,,R$ 2.300.000,Cidade Jardim,São Paulo,SP,585m²,Lopes Prime - Moema,21/10/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-espetacular-no-bairro-cidade-jardim-o-ultimo-dos-ultimos-1099912760,24/Mar/2023,01:22:08
Terrenos,,R$ 13.000.000,Cidade Jardim,São Paulo,SP,1051m²,LOPES Morumbi,08/05/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/magnifico-terreno-na-cidade-jardim-950202940,24/Mar/2023,01:22:08
Terrenos,,R$ 2.000.000,Cidade Jardim,São Paulo,SP,590m²,LOPES BARÃO IMOVEIS,16/12/2021,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-sao-paulo-cidade-jardim-ref-reo339340-969772827,24/Mar/2023,01:22:08
Venda - casa em rua pública,4,R$ 6.600.000,Cidade Jardim,São Paulo,SP,840m²,ARCOVERDE IMOBILIARIA LTDA,11/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-a-venda-840-m-por-r-6-600-000-00-cidade-jardim-sao-paulo-sp-940636528,24/Mar/2023,01:22:08
Terrenos,,R$ 15.000,Cidade Jardim,São Paulo,SP,585m²,Lopes Prime - Moema,21/10/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-espetacular-no-bairro-cidade-jardim-o-ultimo-dos-ultimos-1099912769,24/Mar/2023,01:22:08
Venda - casa em rua pública,3,R$ 4.500.000,Jardim Sílvia (Zona Oeste),São Paulo,SP,500m²,Mestria Imóveis,09/01/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-deliciosa-com-piscina-e-churrasqueira-repleta-de-verde-ao-lado-do-clube-paineira-997947040,24/Mar/2023,01:22:08
Venda - casa em condominio fechado,4,R$ 3.350.000,Jardim Panorama D&
