tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 184.211,Jardim Santa Filomena,Itatiba,SP,250m²,Invest Imobiliária,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vendo-lote-com-250m-em-itatiba-e-ganhe-um-lindo-bairro-planejado-e-seguro-1029187343,24/Mar/2023,05:43:15
Terrenos,,R$ 1.250.000,Jardim da Luz,Itatiba,SP,950m²,Evolução-Ouro Casas,01/12/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-comercial-jardim-da-luz-1008599603,24/Mar/2023,05:43:17
Terrenos,,R$ 220.000,Residencial Fazenda Serrinha,Itatiba,SP,360m²,Patrícia Gouveia,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vende-excelente-terreno-360m-itatiba-country-club-itatiba-sp-1016072778,24/Mar/2023,05:43:17
Terrenos,,R$ 650.000,Sítio da Moenda,Itatiba,SP,1356m²,Red negócios imobiliários,30/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1355-m-por-r-650-000-00-condominio-fazenda-dona-carolina-itatiba-sp-1064592813,24/Mar/2023,05:43:17
Terrenos,,R$ 145.000,Portal Giardino,Itatiba,SP,273m²,Evolução-Ouro Casas,28/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-portal-giardino-1058961498,24/Mar/2023,05:43:17
Terrenos,,R$ 110.000,Bairro Tapera Grande,Itatiba,SP,1480m²,Evolução-Ouro Casas,29/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-residencial-a-venda-itatiba-991815880,24/Mar/2023,05:43:17
Terrenos,,R$ 1.080.000,Bairro Itapema,Itatiba,SP,1000m²,Lopes Residence Aluguel jundiai negócios imobiliários,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/itatiba-terreno-padrao-bairro-itapema-1158085571,24/Mar/2023,05:43:17
Terrenos,,R$ 600.000,Bairro da Posse,Itatiba,SP,1000m²,IMOVEIS BELLO LTDA,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1000-m-por-r-600-000-condominio-7-lagos-itatiba-sp-1144285983,24/Mar/2023,05:43:15
Terrenos,,R$ 189.620,Residencial Fazenda Serrinha,Itatiba,SP,300m²,USUÁRIO NEWCORE,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-em-condominio-no-itatiba-country-club-300m-residencial-fazenda-serrinha-itatiba-1144325554,24/Mar/2023,05:43:15
Terrenos,,R$ 250.000,Residencial Fazenda Serrinha,Itatiba,SP,900m²,Unika Imóveis,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-900-m-por-r-250-000-00-condominio-itatiba-country-club-itatiba-sp-982174853,24/Mar/2023,05:43:17
Terrenos,,R$ 500.000,Bairro da Posse,Itatiba,SP,900m²,IMOVEIS BELLO LTDA,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-900-m-por-r-500-000-condominio-7-lagos-itatiba-sp-1144283793,24/Mar/2023,05:43:15
Terrenos,,R$ 230.000,Sítio da Moenda,Itatiba,SP,1180m²,Reinaldo Imóveis,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1180-m-por-r-230-000-00-condominio-pracas-de-ventura-itatiba-sp-1144295267,24/Mar/2023,05:43:15
Terrenos,,R$ 400.000,Bairro da Posse,Itatiba,SP,700m²,IMOVEIS BELLO LTDA,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-700-m-por-r-400-000-condominio-7-lagos-itatiba-sp-1144309942,24/Mar/2023,05:43:15
Terrenos,,R$ 205.000,Loteamento Itatiba Country Club,Itatiba,SP,1249m²,Evolução-Ouro Casas,07/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-condominio-itatiba-country-club-991817569,24/Mar/2023,05:43:15
Terrenos,,R$ 8.700.000,Bairro da Posse,Itatiba,SP,17311m²,SPRE - São Paulo Real Estate,29/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-17310-m-por-r-8-700-000-00-itatiba-itatiba-sp-1001045933,24/Mar/2023,05:43:17
Terrenos,,R$ 263.550,Bairro Itapema,Itatiba,SP,627m²,Garcia & Benedetti Negócios Imobiliários,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-condominio-para-venda-em-itatiba-bairro-itapema-1133179919,24/Mar/2023,05:43:17
Terrenos,,R$ 320.000,Parque Industrial San Francisco,Itatiba,SP,261m²,Reinaldo Imóveis,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-industrial-a-venda-parque-industrial-san-francisco-itatiba-987295854,24/Mar/2023,05:43:17
Terrenos,,R$ 2.460.000,Sítio da Moenda,Itatiba,SP,22360m²,Evolução-Ouro Casas,28/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-industrial-a-venda-sitio-da-moenda-itatiba-te0494-991815852,24/Mar/2023,05:43:17
Terrenos,,R$ 52.320.000,Centro,Itatiba,SP,327000m²,ITACOLOMY NEGOCIOS IMOBILIARIOS LTDA,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-industrial-logistica-a-venda-327-000-m-itatiba-sp-1049110980,24/Mar/2023,05:43:15
Terrenos,,R$ 650.000,Ville Chamonix,Itatiba,SP,1500m²,Evolução-Ouro Casas,27/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-condominio-ville-de-chamonix-991815707,24/Mar/2023,05:43:17
Terrenos,,R$ 284.370,Residencial Terras Nobres,Itatiba,SP,527m²,USUÁRIO NEWCORE,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-em-condominio-no-residencial-sete-lagos527m-residencial-terras-nobres-itatiba-1144322295,24/Mar/2023,05:43:15
Terrenos,,R$ 2.500.000,Jardim Carlos Borella,Itatiba,SP,120m²,Andréa Maria Vieira Penna,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-comercial-de-1600m2-proximo-ao-centro-itatiba-sp-936757608,24/Mar/2023,05:43:17
Terrenos,,R$ 400.000,Bairro da Posse,Itatiba,SP,700m²,IMOVEIS BELLO LTDA,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-700-m-por-r-400-000-condominio-7-lagos-itatiba-sp-1144283815,24/Mar/2023,05:43:15
Terrenos,,R$ 240.000,Sítio da Moenda,Itatiba,SP,1000m²,Reinaldo Imóveis,07/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1000-m-por-r-240-000-00-condominio-pracas-de-ventura-itatiba-sp-1110818444,24/Mar/2023,05:43:16
Terrenos,,R$ 250.000,Recanto dos Pássaros,Itatiba,SP,2750m²,Zeloimóveis,27/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-recanto-dos-passaros-itatiba-1039058447,24/Mar/2023,05:43:17
Terrenos,,R$ 26.000.000,Jardim Alto de Santa Cruz,Itatiba,SP,70000m²,FD9 Imóveis,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-a-venda-70000-m-por-r-26-000-000-00-vila-santa-cruz-itatiba-sp-1048537051,24/Mar/2023,05:43:16
Terrenos,,R$ 435.000,Jardim São Marcos,Itatiba,SP,1000m²,MH3 Imóveis,07/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-condominio-village-das-palmeiras-itatiba-1083392168,24/Mar/2023,05:43:16
Terrenos,,R$ 690.000,Capela do Barreiro,Itatiba,SP,1294m²,REMAX EVOKE,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-com-1294-m-no-condominio-fazenda-dona-carolina-itatiba-sp-1151453250,24/Mar/2023,05:43:17
Terrenos,,R$ 244.000,Loteamento Itatiba Country Club,Itatiba,SP,650m²,IMOVEIS BELLO LTDA,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-650-m-por-r-244-000-00-condominio-itatiba-country-club-itatiba-sp-1023765261,24/Mar/2023,05:43:17
Terrenos,,R$ 264.220,Jardim Leonor,Itatiba,SP,1309m²,USUÁRIO NEWCORE,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote1309m-jardim-leonor-itatiba-1144324303,24/Mar/2023,05:43:16
Terrenos,,R$ 180.000,Nova Itatiba,Itatiba,SP,420m²,Evolução-Ouro Casas,30/11/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-nova-itatiba-ii-991815736,24/Mar/2023,05:43:17
Terrenos,,R$ 181.020,Loteamento Caminhos do Sol,Itatiba,SP,1037m²,USUÁRIO NEWCORE,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote1037m-loteamento-caminhos-do-sol-itatiba-1144323556,24/Mar/2023,05:43:16
Terrenos,,R$ 265.000,Bairro da Posse,Itatiba,SP,804m²,Penteado Consultoria Imobiliária Ltda Me,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-804-m-por-r-265-000-bairro-da-posse-itatiba-sp-906022435,24/Mar/2023,05:43:17
Terrenos,,R$ 8.000.000,Sítio da Moenda,Itatiba,SP,,Vivali Empreendimentos Imobiliários Ltda.,07/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-venda-sitio-da-moenda-itatiba-sp-1064586265,24/Mar/2023,05:43:16
Terrenos,,R$ 180.000,Jardim Nice,Itatiba,SP,250m²,Evolução-Ouro Casas,07/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/itatiba-terreno-te0244-991817391,24/Mar/2023,05:43:16
Terrenos,,R$ 1.800.000,Bairro da Aparecidinha,Itatiba,SP,12501m²,IMOVEIS BELLO LTDA,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-a-venda-12501-m-por-r-1-800-000-00-bairro-da-aparecidinha-itatiba-sp-1023765252,24/Mar/2023,05:43:17
Terrenos,,R$ 600.000,Bairro da Posse,Itatiba,SP,1000m²,IMOVEIS BELLO LTDA,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1000-m-por-r-600-000-00-condominio-7-lagos-itatiba-sp-1144282273,24/Mar/2023,05:43:16
Terrenos,,R$ 170.000,Nova Itatiba,Itatiba,SP,420m²,Evolução-Ouro Casas,08/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-nova-itatiba-ii-991817428,24/Mar/2023,05:43:16
Terrenos,,R$ 390.000,Jardim São Marcos,Itatiba,SP,1000m²,REMAX EVOKE,12/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1000-m-por-r-390-000-00-jardim-sao-marcos-itatiba-sp-1147160081,24/Mar/2023,05:43:17
Terrenos,,R$ 170.000,Vivendas do Engenho D&
