tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 585.000,Jardim Guapira,São Paulo,SP,275m²,JS Cabral Imóveis,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-jd-guapira-1073606928,23/Mar/2023,21:45:52
Terrenos,,R$ 699.000,Vila Germinal,São Paulo,SP,260m²,MENDES & BRAGA NEGÓCIOS IMOBILIÁRIOS,02/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-260-m-por-r-699-000-00-jacana-sao-paulo-sp-979628974,23/Mar/2023,21:45:55
Terrenos,,R$ 266.000,Vila Nilo,São Paulo,SP,90m²,Natan Carlos Miquelan de Lima,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-90-m-por-r-266-000-00-vila-nilo-sao-paulo-sp-1049364085,23/Mar/2023,21:45:55
Terrenos,,R$ 430.000,Jardim São Luís,São Paulo,SP,180m²,NOVA SOLAR EMPREENDIMENTOS IMOBILIARIOS S/S LTDA - ME,04/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-jardim-sao-luis-180-m-1111096577,23/Mar/2023,21:45:56
Terrenos,,R$ 22.000.000,Sítio Barrocada,São Paulo,SP,20000m²,Imóveis Império,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-sitio-barrocada-sao-paulo-r-22-mi-cod-2306-1099203994,23/Mar/2023,21:45:56
Terrenos,,R$ 1.650.000,Jaçanã,São Paulo,SP,500m²,LOPES ONE 4,11/05/2022,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-otima-localizacao-948556662,23/Mar/2023,21:45:56
Terrenos,,R$ 901.000,Vila Germinal,São Paulo,SP,400m²,Imóveis Império,06/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-jacana-sao-paulo-r-901-mil-cod-9716-1099203539,23/Mar/2023,21:45:56
Venda - casa em rua pública,3,R$ 465.000,Jardim São Luís,São Paulo,SP,78m²,ARBO IMÓVEIS,24/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sobrado-a-venda-jardim-sao-luis-sao-paulo-sp-1163285039,23/Mar/2023,21:45:56
Terrenos,,R$ 570.000,Jardim Guapira,São Paulo,SP,300m²,EQUIPE ELITE,09/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-terreno-para-venda-com-300-metros-quadrados-em-jardim-guapira-sao-paulo-sp-1077932692,23/Mar/2023,21:45:56
Terrenos,,R$ 420.000,Vila Germinal,São Paulo,SP,2690m²,IGB CONSULTORIA E ADMINISTRACAO DE IMOVEIS LTDA - EPP,28/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/excelente-terreno-para-construcao-em-caieiras-1096549260,23/Mar/2023,21:45:56
Terrenos,,R$ 135.000,Três Cruzes,São Paulo,SP,1200m²,Vendas de Terrenos,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-terreno-para-venda-com-1200-metros-quadrados-em-tres-cruzes-sao-paulo-sp-1162987282,23/Mar/2023,21:45:56
Venda - casa em rua pública,3,R$ 480.000,Vila Nilo,São Paulo,SP,90m²,Natan Carlos Miquelan de Lima,24/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-a-venda-90-m-por-r-480-000-00-vila-nilo-sao-paulo-sp-1049374581,23/Mar/2023,21:45:56
Terrenos,,R$ 30.000,Jardim São Luís (Zona Norte),São Paulo,SP,4000m²,Ingrácia Imóveis,08/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-alugar-4000-m-por-r-30-000-00-mes-jardim-sao-luis-zona-norte-sao-pau-1061616248,23/Mar/2023,21:45:56
