tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 45.000,Parque das Flores,Jales,SP,334m²,DIEGO,26/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/lote-escriturado-1138529066,23/Mar/2023,13:47:01
Terrenos,,R$ 175.000,Alto do Ipê,Jales,SP,360m²,marcos,26/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/vendo-lote-1138760718,23/Mar/2023,13:47:01
Terrenos,,R$ 600,Jardim Trianon,Jales,SP,275m²,Eduardo,26/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terrenos-a-venda-preco-por-mt-quadrado-1138760751,23/Mar/2023,13:47:01
Terrenos,,R$ 100.500,Residencial Nova Jales,Jales,SP,10m²,ARBO IMÓVEIS,19/10/2022,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/lote-plano-de-esquina-com-10mx20m-pronto-para-construir-no-jardim-nova-jales-i-na-quadra-0-1098726189,23/Mar/2023,13:47:01
Terrenos,,R$ 115.000,Residencial Paineiras II,Jales,SP,,Zé,16/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-200-metros-1160096227,23/Mar/2023,13:47:01
Terrenos,,R$ 118.000,Residencial Nova Jales,Jales,SP,10m²,ARBO IMÓVEIS,07/11/2022,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/lote-plano-de-10mx20m-no-jardim-nova-jales-i-na-quadra-15-lote-11-1106343367,23/Mar/2023,13:47:01
Terrenos,,R$ 115.000,Jardim Romero,Jales,SP,180m²,Daniel,24/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-1137932225,23/Mar/2023,13:47:01
Terrenos,,R$ 250.000,Centro,Jales,SP,465m²,guilhermefranciscoadv,05/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/terreno-jardim-pires-de-andrade-465-metros-quadrados-1137053553,23/Mar/2023,13:47:01
Terrenos,,R$ 85.000,Conjunto Habitacional Vereador Santo Hernandes Argentina,Jales,SP,10000m²,Valéria Almeida,31/01/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/rancho-rubineia-1140781334,23/Mar/2023,13:47:01
Terrenos,,R$ 85.000,Residencial Monte Líbano,Jales,SP,,Vinicius,16/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/lotes-terrenos-residencial-monte-libano-jales-sp-1159852003,23/Mar/2023,13:47:01
Terrenos,,R$ 200.000,Parque das Flores,Jales,SP,3820m²,PriSilas,18/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/chacara-dentro-da-cidade-1160877650,23/Mar/2023,13:47:01
Terrenos,,R$ 45.000,Jardim Bom Jesus,Jales,SP,394m²,Francieli Trevizan,05/03/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/lote-em-rubineia-1154945194,23/Mar/2023,13:47:01
Terrenos,,null,Residencial Big Plaza,Jales,SP,,Donizete Coiado,05/02/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/otimo-terreno-sem-prestacoes-com-escritura-valor-75-000-mil-1143252595,23/Mar/2023,13:47:01
Terrenos,,R$ 110.000,Jardim Nova Jales II,Jales,SP,200m²,Vitor Junior,24/02/2023,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/terrenos/vendo-terreno-10x20m-200m-1151159080,23/Mar/2023,13:47:01
