tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 245.000,,Jambeiro,SP,1005m²,i9vale Imoveis Premium,18/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-declive-vista-espetacular-jambeiro-jambeiro-sp-982091380,23/Mar/2023,10:35:49
Terrenos,,R$ 170.000,,Jambeiro,SP,1000m²,JB FURTADO IMOVEIS - ME,17/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/lote-terreno-para-venda-tem-1000-metros-quadrados-em-jambeiro-jambeiro-sp-1134569644,23/Mar/2023,10:35:49
Terrenos,,R$ 315.000,,Jambeiro,SP,1000m²,INDEPENDENCE NEGOCIOS IMOBILIÁRIOS LTDA ME,16/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-1000-m-por-r-315-000-00-tapanhao-jambeiro-sp-1147780451,23/Mar/2023,10:35:49
Terrenos,,R$ 260.000,,Jambeiro,SP,1070m²,Geração Imóveis Ltda.,17/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-padrao-em-jambeiro-1016567608,23/Mar/2023,10:35:49
Terrenos,,R$ 1.500.000,,Jambeiro,SP,254100m²,111 IMOVEIS LTDA - ME,13/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/area-a-venda-254100-m-por-r-1-500-000-00-canaa-jambeiro-sp-1073680330,23/Mar/2023,10:35:49
Terrenos,,R$ 250.000,,Jambeiro,SP,1047m²,Emilia Toledo,16/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-1046-m-por-r-250-000-tampanhao-jambeiro-sp-1148087223,23/Mar/2023,10:35:49
Terrenos,,R$ 550.000,,Jambeiro,SP,1200m²,i9vale Imoveis Premium,13/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-1200-m-por-r-550-000-982091262,23/Mar/2023,10:35:50
Terrenos,,R$ 430.000,,Jambeiro,SP,1000m²,HORIZONTE IMÓVEIS,15/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-1000-m-recanto-santa-barbara-jambeiro-sp-1049617724,23/Mar/2023,10:35:50
Terrenos,,R$ 406.600,,Jambeiro,SP,1000m²,NOVA FREITAS IMOVEIS LTDA - EPP,01/06/2022,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/jambeiro-terreno-padrao-tapanhao-1039525578,23/Mar/2023,10:35:50
Terrenos,,R$ 175.000,,Jambeiro,SP,1000m²,Pirâmide Imóveis - Unidade Urbanova,17/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-1000-m-por-r-175-000-reserva-fazenda-sao-francisco-jambeiro-sp-1104223629,23/Mar/2023,10:35:50
