tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.600.000,Jardim Santa Adelaide,Jundiaí,SP,1798m²,Jamil Giacomello Imóveis,13/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terrenos-para-empreendimentos-ou-comercio-a-venda-em-jundiai-jardim-paulista-ii-plano-1158653847,24/Mar/2023,06:00:48
Terrenos,,R$ 440.000,Medeiros,Jundiaí,SP,800m²,Imobiliaria Colina,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-medeiros-jundiai-916412674,24/Mar/2023,06:00:51
Terrenos,,R$ 280.000,Loteamento Jardim Ipanema,Jundiaí,SP,10m²,Imperativa Imóveis,13/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terrenos-para-venda-em-jundiai-no-bairro-jardim-ipanema-1026223241,24/Mar/2023,06:00:51
Terrenos,,R$ 640.000,Vila Maringá,Jundiaí,SP,478m²,JC DO PRADO NEGOCIOS IMOBILIARIOS - ME,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-477-m-por-r-640-000-alphaville-oportunidade--jundiai-sp-1145996803,24/Mar/2023,06:00:51
Terrenos,,R$ 820.000,Vila Maringá,Jundiaí,SP,586m²,JC DO PRADO NEGOCIOS IMOBILIARIOS - ME,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-586-m-por-r-820-000-00-alphaville-jundiai-jundiai-sp-1135741125,24/Mar/2023,06:00:51
Terrenos,,R$ 585.000,Ivoturucaia,Jundiaí,SP,7000m²,Marcia Pauli Imóveis,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-com-7000m-no-condominio-parque-dos-manacas-jundiai-sp-1157738153,24/Mar/2023,06:00:51
Terrenos,,R$ 620.000,Loteamento Residencial e Comercial Horto Florestal,Jundiaí,SP,486m²,JC DO PRADO NEGOCIOS IMOBILIARIOS - ME,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-486-m-por-r-620-000-00-condominio-bosque-do-horto-jundiai-sp-1121735386,24/Mar/2023,06:00:51
Terrenos,,R$ 2.600.000,Vila Francisco Eber,Jundiaí,SP,800m²,AGEU RIBEIRO DOS SANTOS SILVA,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-venda-em-jundiai-vila-francisco-eber-1008009846,24/Mar/2023,06:00:51
Terrenos,,R$ 1.200.000,Jardim Tereza Cristina,Jundiaí,SP,1012m²,VGiatti Imóveis,13/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terrenos-em-condominio-para-venda-em-jundiai-no-bairro-jundiai-mirim-1069683958,24/Mar/2023,06:00:51
Terrenos,,R$ 955.000,Jardim Quintas das Videiras,Jundiaí,SP,1087m²,HOME BROKERS IMOBILIARIA LTDA,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-venda-em-jundiai-jardim-quintas-das-videiras-1138143211,24/Mar/2023,06:00:51
Terrenos,,R$ 318.000,Centro,Jundiaí,SP,1000m²,Planalto Serviços Administrativos,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terrenos-para-venda-em-jundiai-no-bairro-caxambu-1099159503,24/Mar/2023,06:00:51
Terrenos,,R$ 305.000,Jardim Itália,Jundiaí,SP,470m²,Vieira Administração Imobiliária,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-jardim-italia-1049310436,24/Mar/2023,06:00:51
Terrenos,,R$ 795.000,Vila Maringá,Jundiaí,SP,456m²,Mediterraneo Imóveis,13/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/jundiai-lote-terreno-vila-maringa-1158550329,24/Mar/2023,06:00:51
Terrenos,,R$ 535.000,Loteamento Vale Azul I,Jundiaí,SP,450m²,Unique Brokers,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-450-m-por-r-535-000-00-terras-de-jundiai-jundiai-sp-1157680847,24/Mar/2023,06:00:51
Terrenos,,R$ 1.320.000,Jardim das Samambaias,Jundiaí,SP,600m²,HOME BROKERS IMOBILIARIA LTDA,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-condominio-para-venda-em-jundiai-jardim-das-samambaias-1110576108,24/Mar/2023,06:00:51
Terrenos,,R$ 1.266.256,Residencial Village das Flores,Jundiaí,SP,791m²,GOLD BROKERS IMÓVEIS,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-de-791m-no-condominio-brisas-jundiai-no-jd-samambaia-1095711685,24/Mar/2023,06:00:51
Terrenos,,R$ 530.000,Jardim Colônia,Jundiaí,SP,1000m²,Imoconecta,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-jardim-colonia-jundiai-sp-1139066421,24/Mar/2023,06:00:51
Terrenos,,R$ 551.200,Loteamento Vale Azul I,Jundiaí,SP,779m²,Albino imóveis,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-jundiai-vale-azul-985483122,24/Mar/2023,06:00:51
Terrenos,,R$ 700.000,Chácara Terra Nova,Jundiaí,SP,452m²,Unique Brokers,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-452-m-por-r-700-000-alphaville-jundiai-jundiai-sp-1157681006,24/Mar/2023,06:00:51
Terrenos,,R$ 297.000,Portal do Sol,Jundiaí,SP,1252m²,ALLIANCEBROKERS NEGOCIAÇÕES IMOBILIÁRIAS,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-alto-padro-1252-m-de-esquina-plano-com-benfeitorias-cond-portal-do-sol-taruma-945725566,24/Mar/2023,06:00:51
Terrenos,,R$ 270.000,Jardim Celeste,Jundiaí,SP,350m²,MARCELLO & OLIVEIRA NEGOCIOS IMOBILIARIOS.,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-jardim-celeste-jundiai-sp-1079088629,24/Mar/2023,06:00:51
Terrenos,,R$ 775.000,Jardim Tarumã,Jundiaí,SP,517m²,Clicar! Imóveis,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-516-m-por-r-775-000-00-alphaville-jundiai-jundiai-sp-1157648669,24/Mar/2023,06:00:51
Venda - apartamento padrão,2,R$ 413.000,Vila Progresso,Jundiaí,SP,71m²,Sidnei Bento Pupo,22/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/apartamento-para-venda-possui-71-metros-quadrados-com-2-quartos-em-vila-progresso-jundia-1108957124,24/Mar/2023,06:00:51
Terrenos,,R$ 195.000,Jardim Tarumã,Jundiaí,SP,338m²,LVD IMOVEIS,13/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-jundiai-979997155,24/Mar/2023,06:00:48
Terrenos,,R$ 745.000,Jardim Novo Mundo,Jundiaí,SP,360m²,Bonafide Negócios Imobiliários,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/jundiai-loteamento-condominio-jardim-novo-mundo-1157626964,24/Mar/2023,06:00:51
Terrenos,,R$ 700.000,Chácara Terra Nova,Jundiaí,SP,452m²,Unique Brokers,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-452-m-por-r-700-000-alphaville-jundiai-jundiai-sp-1157627326,24/Mar/2023,06:00:51
Venda - apartamento padrão,3,R$ 800.000,Jardim Ana Maria,Jundiaí,SP,108m²,J CIESLA IMÓVEIS,22/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/jundiai-apartamento-padrao-1162828686,24/Mar/2023,06:00:51
Terrenos,,R$ 590.000,Jardim Gramadão I,Jundiaí,SP,477m²,Green Garden Negócios Imobiliários,11/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-jardim-gramadao-i-jundiai-sp-1115626308,24/Mar/2023,06:00:51
Venda - casa em condominio fechado,3,R$ 1.850.000,Jardim Santa Teresa,Jundiaí,SP,228m²,KLEBER,22/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/casa-com-3-dormitorios-227-m-venda-por-r-1-850-000-00-ou-aluguel-por-r-8-580-00-mes-1162826940,24/Mar/2023,06:00:51
Venda - apartamento padrão,4,R$ 1.050.000,Jardim Bonfiglioli,Jundiaí,SP,124m²,MEU IMOVEL FAVORITO,22/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/vende-se-apartamento-124mt-4-dorm-cond-new-garden-jundiai-sp-r-1-050-000-00-1162830843,24/Mar/2023,06:00:51
Terrenos,,R$ 780.000,Vila Maringá,Jundiaí,SP,649m²,SÓLIDA IMÓVEIS JUNDIAÍ,13/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-649-m-por-r-780-000-00-alphaville-jundiai-jundiai-sp-1079288330,24/Mar/2023,06:00:48
Terrenos,,R$ 355.900,Parque São Luiz,Jundiaí,SP,1140m²,M1 negócios imobiliários,13/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-venda-em-jundiai-mato-dentro-1052726710,24/Mar/2023,06:00:48
