tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 3.500.000,,Mirandópolis,SP,4150m²,COMPACTO IMOBILIÁRIA LTDA,30/11/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-padrao-em-mirandopolis-931981216,23/Mar/2023,16:12:19
Venda - casa em rua pública,3,R$ 320.000,,Mirandópolis,SP,172m²,L4S,22/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-172-29m-com-3-quartos-e-1-garagem-1162543629,23/Mar/2023,16:12:19
Terrenos,,R$ 100.000,,Mirandópolis,SP,330m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-330-00m-1160774553,23/Mar/2023,16:12:19
Venda - casa em rua pública,2,R$ 170.000,,Mirandópolis,SP,102m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-101-76m-com-2-quartos-1160766579,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,160m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-160-00m-1160818325,23/Mar/2023,16:12:19
Venda - casa em rua pública,3,R$ 26.000,,Mirandópolis,SP,300m²,Claudinho,22/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/vendo-otima-casa-com-3-quartos-e-suite-em-mirandopolis-1162583821,23/Mar/2023,16:12:19
Venda - casa em vila,2,R$ 180.000,Centro,3 Alianças,SP,207m²,damitc,07/02/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-em-ibitinga-sp-1143872755,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,200m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-200-29m-1160759995,23/Mar/2023,16:12:19
Terrenos,,R$ 26.000,,Mirandópolis,SP,250m²,Guilherme A.,06/02/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/vende-se-terreno-1143687926,23/Mar/2023,16:12:19
Venda - casa em rua pública,3,R$ 180.000,,Mirandópolis,SP,150m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-150-00m-com-3-quartos-e-1-garagem-1160765822,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,250m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-250-00m-1160818182,23/Mar/2023,16:12:19
Venda - casa em rua pública,3,R$ 520.000,,Mirandópolis,SP,140m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-139-60m-com-3-quartos-e-2-garagens-1160758738,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,160m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-160-00m-1160756847,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,160m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-160-00m-1160756369,23/Mar/2023,16:12:19
Venda - casa em rua pública,2,R$ 280.000,,Mirandópolis,SP,184m²,L4S,18/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-184-42m-com-2-quartos-e-3-garagens-1160976383,23/Mar/2023,16:12:19
Venda - casa em rua pública,2,R$ 162.500,,Mirandópolis,SP,94m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-94-29m-com-2-quartos-1160761417,23/Mar/2023,16:12:19
Terrenos,,R$ 477.511,,Mirandópolis,SP,,MGL LEILÕES,18/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/cx-terreno-cod-65339-mirandopolis-mirandopolis-1036490533,23/Mar/2023,16:12:19
Terrenos,,R$ 50.000,,Mirandópolis,SP,180m²,cleber_eduardo,28/01/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-no-jardim-sampaio-ii-1139460014,23/Mar/2023,16:12:19
Venda - casa em rua pública,3,R$ 1.115.000,,Mirandópolis,SP,275m²,L4S,22/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-275-00m-com-3-quartos-e-4-garagens-1162548270,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,160m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-160-00m-1160756884,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,160m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-160-00m-1160755136,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,160m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-160-00m-1160757157,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,160m²,L4S,08/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-160-00m-1156554083,23/Mar/2023,16:12:19
Terrenos,,R$ 60.000,,Mirandópolis,SP,253m²,L4S,08/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-253-00m-1156544543,23/Mar/2023,16:12:19
Venda - casa em rua pública,2,R$ 158.990,,Mirandópolis,SP,113m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-para-venda-em-mirandopolis-de-113-00m-com-2-quartos-1160809526,23/Mar/2023,16:12:19
Terrenos,,R$ 70.000,,Mirandópolis,SP,192m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-191-51m-1160755451,23/Mar/2023,16:12:19
Terrenos,,R$ 70.000,,Mirandópolis,SP,164m²,L4S,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-para-venda-em-mirandopolis-de-163-88m-1160756095,23/Mar/2023,16:12:19
Terrenos,,R$ 30.000,,Mirandópolis,SP,375m²,Carlos Boneto,25/01/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/vendo-terreno-para-construcao-de-rancho-1138150000,23/Mar/2023,16:12:19
