tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 235.000,Chácara São Marcelo,Mogi Mirim,SP,365m²,Anderson Oliveira,23/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-365m-condominio-flor-d-aldeia-mogi-mirim-1137066039,23/Mar/2023,16:29:31
Terrenos,,R$ 85.000,,Mogi Mirim,SP,250m²,mario antonio moreira,23/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-parque-das-laranjeiras-250-metros-1162986184,23/Mar/2023,16:29:31
Terrenos,,R$ 740.000,Jardim Tropical,Mogi Mirim,SP,1242m²,ACACIO IMOVEIS,21/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-1242-m-por-r-740-000-jardim-tropical-mogi-mirim-sp-967175017,23/Mar/2023,16:29:32
Terrenos,,R$ 1.108.314,Jardim Primavera,Mogi Mirim,SP,2095m²,Rede Provectum - Proença,23/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jardim-primavera-mogi-mirim-1162954297,23/Mar/2023,16:29:31
Terrenos,,R$ 185.000,Loteamento Residencial Murayama,Mogi Mirim,SP,,J B L CONSULTORIA & ADMINISTRACAO DE IMOVEIS S/S LTDA - ME,23/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-jd-murayama-mogi-mirim-sp-1036027328,23/Mar/2023,16:29:31
Terrenos,,R$ 752.144,Jardim Primavera,Mogi Mirim,SP,2095m²,Croma Assessoria e Negócios Imobiliários Ltda,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-industrial-para-venda-jardim-primavera-mogi-mirim-1144358570,23/Mar/2023,16:29:32
Terrenos,,R$ 9.100.000,Distrito Industrial I José Marangoni,Mogi Mirim,SP,260000m²,Prado Gonçalves Nova Campinas,23/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/area-parque-da-empresa-mogi-mirim-1162945264,23/Mar/2023,16:29:32
Terrenos,,R$ 235.000,Distrito Industrial I José Marangoni,Mogi Mirim,SP,600m²,Imobiliaria Jazz,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-no-bairro-distrito-industrial-i-jose-marangoni-em-mogi-mirim-1162438528,23/Mar/2023,16:29:32
Terrenos,,R$ 150.000,Jardim Brasília,Mogi Mirim,SP,300m²,J B L CONSULTORIA & ADMINISTRACAO DE IMOVEIS S/S LTDA - ME,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/venda-terreno-jardim-brasilia-mogi-mirim-sp-1091535015,23/Mar/2023,16:29:32
Terrenos,,R$ 280.000,Centro,Mogi Mirim,SP,518m²,L4S,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-centro-de-518-00m-1162545813,23/Mar/2023,16:29:32
