tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 270.000,Estância Hípica,Nova Odessa,SP,360m²,CasaP Imóveis,21/12/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-360-m-por-r-270-000-00-campo-belo-nova-odessa-sp-1124246067,23/Mar/2023,18:09:11
Terrenos,,R$ 299.000,Jardim Altos do Klavin,Nova Odessa,SP,302m²,ARES IMOVEIS LTDA - ME,22/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-residencial-a-venda-jardim-altos-do-klavin-nova-odessa-te0164-1098653129,23/Mar/2023,18:09:16
Terrenos,,R$ 297.000,Parque Fortaleza,Nova Odessa,SP,490m²,ImoVibe Imoveis,03/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-em-condominio-em-nova-odessa-1154134298,23/Mar/2023,18:09:16
Terrenos,,R$ 270.000,Jardim Recanto das Águas,Nova Odessa,SP,300m²,DF IMOBILIÁRIA,05/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/venda-terreno-em-condominio-jardim-recanto-das-aguas-nova-odessa-sp-1141365737,23/Mar/2023,18:09:16
Terrenos,,R$ 936.000,Parque Industrial Recanto,Nova Odessa,SP,1816m²,ARAUJO JÚNIOR IMÓVEIS,05/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/nova-odessa-terreno-padrao-parque-industrial-recanto-1005181727,23/Mar/2023,18:09:16
Terrenos,,R$ 270.000,Jardim Gleba B,Nova Odessa,SP,442m²,Remax Suprema,09/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/residencial-vista-jardim-muito-verde-1143776399,23/Mar/2023,18:09:16
Terrenos,,R$ 137.000,Jardim Santa Rita II,Nova Odessa,SP,200m²,F. B. DE OLIVEIRA IMOBILIARIA,01/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/lindo-terreno-a-venda-200-m-por-r-136-500-jardim-dos-lagos-2-nova-odessa-sp-1153014771,23/Mar/2023,18:09:16
Terrenos,,R$ 901.000,Jardim Residencial Fibra,Nova Odessa,SP,1100m²,Amerimoveis,26/12/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-1100-m-por-r-901-000-00-jardim-residencial-fibra-nova-odessa-sp-1048800196,23/Mar/2023,18:09:16
Terrenos,,R$ 275.000,Engenho Velho,Nova Odessa,SP,302m²,CasaP Imóveis,21/12/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-302-m-por-r-275-000-00-condominio-engenho-velho-nova-odessa-sp-1124246719,23/Mar/2023,18:09:16
Terrenos,,R$ 1.795.000,Parque Industrial Recanto,Nova Odessa,SP,3045m²,CasaP Imóveis,26/12/2022,https://sp.olx.com.br/grande-campinas/terrenos/terreno-a-venda-3044-m-por-r-1-795-000-00-parque-industrial-recanto-nova-odessa-sp-1076616279,23/Mar/2023,18:09:16
Terrenos,,R$ 1.000.000,Residencial Jardins da Cidade,Nova Odessa,SP,,Valencio Imóveis,10/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/venda-terreno-em-condominio-residencial-jardins-da-cidade-nova-odessa-sp-1138167013,23/Mar/2023,18:09:16
Terrenos,,R$ 175.000,Jardim Santa Rita I,Nova Odessa,SP,200m²,L4S,09/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-para-venda-em-jardim-santa-rita-i-de-200-00m-1156971354,23/Mar/2023,18:09:16
Terrenos,,R$ 140.000,Jardim dos Lagos 2,Nova Odessa,SP,200m²,Je,02/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-area-gourmet-casa-a-venda-1153868227,23/Mar/2023,18:09:17
Terrenos,,R$ 370.000,Green Village,Nova Odessa,SP,300m²,Azul Piscinas,09/03/2023,https://sp.olx.com.br/grande-campinas/terrenos/terreno-300-mts-nova-odessa-1156879399,23/Mar/2023,18:09:17
