tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 4.000.000,Retiro Morumbi,São Paulo,SP,2000m²,PAX IMOVEIS - NEGOCIOS IMOBILIARIOS LTDA - ME,10/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/otimo-terreno-em-rua-fechada-998474369,24/Mar/2023,02:16:07
Terrenos,,R$ 4.000,Vila Progredior,São Paulo,SP,400m²,Bellarrê Imóveis,05/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-vila-progredior-sao-paulo-1154852990,24/Mar/2023,02:16:07
Terrenos,,R$ 3.200.000,Morumbi,São Paulo,SP,760m²,BDI - CENTRAL DE DADOS LTDA,06/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-jardim-guedala-sp-1155372015,24/Mar/2023,02:16:07
Terrenos,,R$ 1.200.000,Paraíso do Morumbi,São Paulo,SP,775m²,PAULO ROBERTO LEARDI - PORTAL DO MORUMBI,07/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-panamby-sp-1155641528,24/Mar/2023,02:16:07
Terrenos,,R$ 965.000,Morumbi,São Paulo,SP,643m²,BDI - CENTRAL DE DADOS LTDA,06/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-jardim-guedala-sp-1155381332,24/Mar/2023,02:16:07
Terrenos,,R$ 430.000,Vila Progredior,São Paulo,SP,130m²,Torres Cordeiro Imóveis e Administração de Bens,09/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-na-vl-progredior-1048538579,24/Mar/2023,02:16:07
Outros,,R$ 5.000,Paraíso do Morumbi,São Paulo,SP,3m²,Mari,08/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/jazigo-do-morumby-perto-do-tumulo-do-ayrton-senna-completo-1156222258,24/Mar/2023,02:16:07
Terrenos,,R$ 4.000.000,Morumbi,São Paulo,SP,1500m²,ARBO IMÓVEIS,02/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-e-para-locacao-morumbi-sao-paulo-sp-1153669352,24/Mar/2023,02:16:08
Terrenos,,R$ 905.000,Morumbi,São Paulo,SP,622m²,Zarif Imóveis,04/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-venda-em-sao-paulo-morumbi-995286597,24/Mar/2023,02:16:07
Terrenos,,R$ 31.800,Vila Progredior,São Paulo,SP,500m²,SARDINHA ASSESSORIA E CONSULTORIA IMOBILIARIA LTDA - ME,05/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-em-vila-progredior--sao-paulo-1010450039,24/Mar/2023,02:16:07
Terrenos,,R$ 20.000,Morumbi,São Paulo,SP,680m²,Villa Prime Imóveis,03/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-comercial-para-alugar-no-morumbi-945964258,24/Mar/2023,02:16:07
Terrenos,,R$ 4.000.000,Morumbi,São Paulo,SP,1500m²,ARBO,02/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-e-para-locacao-morumbi-sao-paulo-sp-1153658240,24/Mar/2023,02:16:07
Terrenos,,R$ 5.890.000,Vila Progredior,São Paulo,SP,981m²,Graiche Imobiliária,01/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-981-m-por-r-5-890-000-00-vila-progredior-sao-paulo-sp-1048674923,24/Mar/2023,02:16:07
Terrenos,,R$ 15.900,Morumbi,São Paulo,SP,900m²,D'Angelos Negocios Imobiliarios,01/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-para-alugar-900-m-por-r-15-900-mes-morumbi-sao-paulo-sp-1153462759,24/Mar/2023,02:16:08
Terrenos,,R$ 10.000,Morumbi,São Paulo,SP,502m²,Hai Imóveis ltda,28/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/venda-ou-locacao-terreno-morumbi-1152524559,24/Mar/2023,02:16:08
Terrenos,,R$ 9.000.000,Vila Progredior,São Paulo,SP,500m²,Butanta Imoveis,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-500-m-por-r-9-000-000-00-vila-progredior-sao-paulo-sp-1011877003,24/Mar/2023,02:16:08
Terrenos,,R$ 20.000,Paraíso do Morumbi,São Paulo,SP,10m²,Milton,02/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/jazigo-cemiterio-morumbi-1153767717,24/Mar/2023,02:16:07
Terrenos,,R$ 3.949.000,Morumbi,São Paulo,SP,760m²,Pitale Imóveis,10/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-760-m-por-r-3-949-000-00-morumbi-sao-paulo-sp-1060369016,24/Mar/2023,02:16:07
Terrenos,,R$ 1.300.000,Morumbi,São Paulo,SP,502m²,Hai Imóveis ltda,28/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/venda-ou-locacao-terreno-morumbi-1152524558,24/Mar/2023,02:16:07
Terrenos,,R$ 3.480.000,Retiro Morumbi,São Paulo,SP,1160m²,Lef Properties,24/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-maravilhoso-em-condominio-1-160m2-com-vista-1005072204,24/Mar/2023,02:16:08
