tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 120.000,,Osvaldo Cruz,SP,308m²,Henrique,15/02/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/vendo-excelente-terreno-no-jardim-das-bandeiras-em-osv-cruz-sp-1147484538,23/Mar/2023,15:59:15
Venda - casa em rua pública,3,R$ 200.000,,Osvaldo Cruz,SP,116m²,Lucas Pirasolli,20/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/vendo-ou-alugo-casa-em-osvaldo-cruz-1161478891,23/Mar/2023,15:59:15
Terrenos,,R$ 65.000,,Osvaldo Cruz,SP,250m²,Marcos Frederico,28/10/2022,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/lote-para-venda-em-osvaldo-cruz-jardim-vale-verde-1102710321,23/Mar/2023,15:59:15
Terrenos,,R$ 6.690.000,,Osvaldo Cruz,SP,44427m²,Superbid Webservices Ltda,23/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/lote-desocupado-44427-0-m2-osvaldo-cruz-sp-1163068896,23/Mar/2023,15:59:15
Terrenos,,R$ 4.100,,Osvaldo Cruz,SP,210m²,Renat winner,04/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-1154715567,23/Mar/2023,15:59:15
Venda - apartamento padrão,3,R$ 550.000,,Osvaldo Cruz,SP,10m²,AC FERNANDES,23/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/apartamento-para-venda-centro-em-osvaldo-cruz-sp-1162916169,23/Mar/2023,15:59:15
Terrenos,,R$ 89.000,,Osvaldo Cruz,SP,300m²,vendedor da sorte,23/02/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/oportunidade-terreno-no-centro-pronto-para-construir-1150564941,23/Mar/2023,15:59:15
Venda - casa em rua pública,3,R$ 900.000,,Osvaldo Cruz,SP,230m²,Celso Leal,17/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-a-venda-no-bairro-centro-osvaldo-cruz-sp-1131855911,23/Mar/2023,15:59:15
Venda - casa em rua pública,4,R$ 520.000,,Osvaldo Cruz,SP,250m²,$$$paula$$$,01/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-a-venda-1153103571,23/Mar/2023,15:59:15
Venda - casa em rua pública,3,R$ 410.000,,Osvaldo Cruz,SP,405m²,jorgetransportes,01/02/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/imoveis/casa-a-venda-no-centro-de-osv-cruz-sp-1141604788,23/Mar/2023,15:59:15
Terrenos,,R$ 59.900,,Osvaldo Cruz,SP,250m²,fabricionerysk8,01/03/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/terreno-quitado-1152984882,23/Mar/2023,15:59:15
Terrenos,,R$ 93.000,,Osvaldo Cruz,SP,270m²,José J.,16/02/2023,https://sp.olx.com.br/regiao-de-presidente-prudente/terrenos/vendo-terreno-jardim-da-bandeiras-osvaldo-cruz-1147966839,23/Mar/2023,15:59:15
