tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 120.000,,Potim,SP,250m²,Palacete Imobiliária,28/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-rua-bairro-morada-marques-em-potim-1004514379,23/Mar/2023,10:42:31
Terrenos,,R$ 1.200.000,,Potim,SP,2250m²,Imobiliária Demétrio,19/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/area-2-250-m-potim-914037282,23/Mar/2023,10:42:31
Terrenos,,R$ 250.000,,Potim,SP,324m²,WANOR FRANÇA IMOVEIS,08/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-324-m-por-r-250-000-00-residencial-california-potim-sp-1007049037,23/Mar/2023,10:42:31
Terrenos,,R$ 290.000,,Potim,SP,348m²,Palacete Imobiliária,28/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-condominio-bairro-centro-em-potim-1004514627,23/Mar/2023,10:42:31
Terrenos,,R$ 400.000,,Potim,SP,483m²,WANOR FRANÇA IMOVEIS,21/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-483-m-por-r-400-000-00-centro-potim-sp-1007049032,23/Mar/2023,10:42:31
Terrenos,,R$ 240.000,,Potim,SP,300m²,J. A. SILVERIO SERVICOS - ME,07/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-300-m-por-r-240-000-00-barranco-alto-potim-sp-1110660080,23/Mar/2023,10:42:31
Terrenos,,R$ 380.000,,Potim,SP,407m²,WANOR FRANÇA IMOVEIS,25/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-residencial-a-venda-centro-potim-1007048744,23/Mar/2023,10:42:31
Terrenos,,R$ 230.000,,Potim,SP,298m²,TERRA VALE IMOVEIS & NEGOCIOS EIRELI - ME,17/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/lote-residencial-california-985751011,23/Mar/2023,10:42:31
Terrenos,,R$ 100.000,,Potim,SP,255m²,Palacete Imobiliária,13/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-rua-bairro-vista-alegre-em-potim-1004513880,23/Mar/2023,10:42:31
Terrenos,,R$ 90.000,,Potim,SP,125m²,Marcelo Augusto,27/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-meio-lote-1152191270,23/Mar/2023,10:42:31
Terrenos,,R$ 120.000,,Potim,SP,250m²,Palacete Imobiliária,18/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-rua-bairro-morada-marques-em-potim-1004514045,23/Mar/2023,10:42:31
Terrenos,,R$ 230.000,,Potim,SP,298m²,Palacete Imobiliária,15/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-condominio-bairro-centro-em-potim-1004514646,23/Mar/2023,10:42:31
Terrenos,,R$ 200.000,Residencial Califórnia,Potim,SP,300m²,Mario,18/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-no-residencial-california-1149053240,23/Mar/2023,10:42:31
Terrenos,,R$ 120.000,,Potim,SP,250m²,Palacete Imobiliária,19/01/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-rua-bairro-morada-marques-em-potim-1004513508,23/Mar/2023,10:42:31
Terrenos,,R$ 220.000,,Potim,SP,298m²,Mario,02/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-de-esquina-no-california-1115697698,23/Mar/2023,10:42:31
Terrenos,,R$ 300.000,,Potim,SP,454m²,WANOR FRANÇA IMOVEIS,22/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-453-m-por-r-300-000-00-frei-galvao-potim-sp-1007048431,23/Mar/2023,10:42:31
Terrenos,,R$ 245.000,,Potim,SP,300m²,INTERVALE INTERMEDIACOES IMOBILIARIAS,27/10/2022,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/excelente-terreno-no-condominio-california-em-potim-1102399809,23/Mar/2023,10:42:31
Terrenos,,R$ 120.000,,Potim,SP,250m²,Palacete Imobiliária,23/01/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-rua-bairro-morada-marques-em-potim-1004513812,23/Mar/2023,10:42:31
Terrenos,,R$ 230.000,,Potim,SP,300m²,IMÓVEIS AQUARIUS,13/01/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-cond-california-1132848999,23/Mar/2023,10:42:32
Terrenos,,R$ 245.000,,Potim,SP,300m²,EDK INTERMEDIAÇÃO E ADMINISTRAÇÃO DE IMÓVEIS LTDA,16/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-300-m-por-r-245-000-00-barranco-alto-potim-sp-1148002878,23/Mar/2023,10:42:32
Terrenos,,R$ 230.000,,Potim,SP,300m²,Oliveira & Oliveira Private Brokers,30/11/2022,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-residencial-a-venda-300-m-residencial-california-c22-potim-sp-1116046455,23/Mar/2023,10:42:32
Terrenos,,R$ 245.000,,Potim,SP,300m²,INTERVALE INTERMEDIACOES IMOBILIARIAS,27/10/2022,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/excelente-terreno-no-condominio-california-em-potim-1102396330,23/Mar/2023,10:42:32
Terrenos,,R$ 230.000,,Potim,SP,300m²,Oliveira & Oliveira Private Brokers,19/10/2022,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-residencial-a-venda-300-m-residencial-california-c21-potim-sp-1098965592,23/Mar/2023,10:42:32
Terrenos,,R$ 120.000,,Potim,SP,250m²,Marcio,07/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-em-potim-sp-1156044382,23/Mar/2023,10:42:32
Terrenos,,R$ 320.000,,Potim,SP,300m²,WANOR FRANÇA IMOVEIS,05/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-300-m-por-r-320-000-00-vila-olivia-potim-sp-1007048792,23/Mar/2023,10:42:32
Terrenos,,R$ 1.750.000,Vista Alegre,Potim,SP,3592m²,L4S,08/03/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-para-venda-em-vista-alegre-de-3591-66m-1156553553,23/Mar/2023,10:42:32
Terrenos,,R$ 300.000,,Potim,SP,466m²,WANOR FRANÇA IMOVEIS,24/02/2023,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/terrenos/terreno-a-venda-465-m-por-r-300-000-00-frei-galvao-potim-sp-1007048507,23/Mar/2023,10:42:32
