tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 270.000,Vila Monte Alegre,Ribeirão Preto,SP,381m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1162814560,23/Mar/2023,13:18:18
Terrenos,,R$ 692.000,Bonfim Paulista,Ribeirão Preto,SP,519m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-portaria-24hs-lazer-espaco-gourmet-salao-de-f-1162813179,23/Mar/2023,13:18:20
Terrenos,,R$ 550.000,Bonfim Paulista,Ribeirão Preto,SP,250m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-portaria-24hs-lazer-espaco-gourmet-salao-de-festa-salao-de-1162811450,23/Mar/2023,13:18:20
Terrenos,,R$ 203.000,Bonfim Paulista,Ribeirão Preto,SP,250m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-portaria-24-horas-em-condominio-fechado-1162811451,23/Mar/2023,13:18:20
Terrenos,,R$ 395.000,Bonfim Paulista,Ribeirão Preto,SP,677m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-portaria-24hs-salao-de-festa-em-condominio-fechado-1162813486,23/Mar/2023,13:18:20
Terrenos,,R$ 2.500.000,Jardim Salgado Filho,Ribeirão Preto,SP,3043m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1162812750,23/Mar/2023,13:18:20
Terrenos,,R$ 440.000,Bonfim Paulista,Ribeirão Preto,SP,489m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-em-condominio-fechado-1162811436,23/Mar/2023,13:18:20
Terrenos,,R$ 175.000,Recreio Anhangüera,Ribeirão Preto,SP,250m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1162813249,23/Mar/2023,13:18:20
Terrenos,,R$ 350.000,Bonfim Paulista,Ribeirão Preto,SP,729m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-em-condominio-fechado-portaria-24hs-salao-de-festa-em-condominio-fec-1162813823,23/Mar/2023,13:18:20
Terrenos,,R$ 11.930.000,Quinta da Primavera,Ribeirão Preto,SP,4096m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-outros-1162811419,23/Mar/2023,13:18:20
Terrenos,,R$ 150.000,Jardim Zara,Ribeirão Preto,SP,275m²,SANTA MARIA TEM NEGÓCIOS IMOBILIÁRIOS,22/03/2023,https://sp.olx.com.br/regiao-de-ribeirao-preto/terrenos/terreno-terreno-normal-1162811470,23/Mar/2023,13:18:20
