tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 325.000,Sítio do Morro,Santana de Parnaíba,SP,361m²,ATITUDE NEGOCIOS IMOBILIARIOS LTDA - ME,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-no-reserva-santa-anna-santana-de-parnaiba-sp-1073459350,24/Mar/2023,05:11:12
Terrenos,,R$ 1.500.000,Parque dos Eucaliptos (Fazendinha),Santana de Parnaíba,SP,2675m²,Dreams Imóveis Alphaville,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-a-venda-2675-m-por-r-1-500-000-00-parque-dos-eucaliptos-fazendinha-santana-d-1010120825,24/Mar/2023,05:11:14
Terrenos,,R$ 270.000,Chácara Jaguari (Fazendinha),Santana de Parnaíba,SP,254m²,UP GRADE EMPREENDIMENTOS IMOBILIARIOS LTDA - ME,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-254-m-por-r-270-000-00-nova-jaguari-santana-de-parnaiba-sp-1104760794,24/Mar/2023,05:11:14
Terrenos,,R$ 460.000,Quintas do Ingaí,Santana de Parnaíba,SP,432m²,RP Imóveis,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lindo-terreno-possui-432-metros-quadrados-em-quintas-do-ingai-santana-de-parnaiba-sao-1163036147,24/Mar/2023,05:11:14
Terrenos,,R$ 546.000,Jardim Bandeirantes,Santana de Parnaíba,SP,420m²,L4S,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-en-condominio-para-venda-em-jardim-bandeirantes-de-420-00m-1163238383,24/Mar/2023,05:11:14
Terrenos,,R$ 22.000.000,Centro,Santana de Parnaíba,SP,183000m²,QUALIPAR IMOVEIS LTDA,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/area-industrial-para-venda-em-centro-santana-de-parnaiba-sp-1077715930,24/Mar/2023,05:11:14
Terrenos,,R$ 160.000,Cidade São Pedro - Gleba A,Santana de Parnaíba,SP,250m²,Eliandro José do Nascimento,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-com-250-m-excelente-1020447202,24/Mar/2023,05:11:14
Terrenos,,R$ 340.000,Sítio do Rosário,Santana de Parnaíba,SP,720m²,Parnaíba Imóveis Ltda,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-santana-de-parnaiba-sp-1002342826,24/Mar/2023,05:11:14
Terrenos,,R$ 750.000,Alphaville,Santana de Parnaíba,SP,360m²,ALPHA APE,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/lote-terreno-para-venda-no-valville-1-1018069628,24/Mar/2023,05:11:14
Terrenos,,R$ 2.200.000,Vila Velha,Santana de Parnaíba,SP,2500m²,Eli Alpha Imóveis,23/03/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/santana-de-parnaiba-terreno-padrao-vila-velha-1036970046,24/Mar/2023,05:11:14
