tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 250.000,,Vargem Grande Paulista,SP,1190m²,Chicoli Administração de bens Ltda,27/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1190-m-jardim-sao-marcos-vargem-grande-paulista-sp-1005542502,24/Mar/2023,05:26:13
Terrenos,,R$ 330.000,,Vargem Grande Paulista,SP,600m²,RESIDENCE PRIME NEGÓCIOS IMOBILIÁRIOS LTDA,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-600-m-por-r-330-000-00-haras-bela-vista-vargem-grande-paulista-sp-1093734134,24/Mar/2023,05:26:13
Terrenos,,R$ 245.000,,Vargem Grande Paulista,SP,360m²,XAVIER IMÓVEIS LTDA,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-loteamento-fechado-360-m-por-r-245-000-00-residencial-belbancy-va-1036910012,24/Mar/2023,05:26:13
Terrenos,,R$ 662.974,,Vargem Grande Paulista,SP,1020m²,PAULISTA IMOBI,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1019-m-por-r-662-974-00-vargem-grande-paulista-vargem-grande-paulis-1045561108,24/Mar/2023,05:26:13
Terrenos,,R$ 165.000,,Vargem Grande Paulista,SP,500m²,CASA NOBLE NEGÓCIOS IMOBILIÁRIOS,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vargem-grande-paulista-terreno-padrao-paysage-brise-1000674327,24/Mar/2023,05:26:13
Terrenos,,R$ 280.000,,Vargem Grande Paulista,SP,600m²,Imobiliária Web Imóveis,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vargem-grande-paulista-loteamento-condominio-haras-bela-vista-992003374,24/Mar/2023,05:26:14
Terrenos,,R$ 800.000,,Vargem Grande Paulista,SP,1366m²,XAVIER IMÓVEIS LTDA,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-1366-m-por-r-800-000-00-jardim-margarida-vargem-grande-paulista-sp-1008641399,24/Mar/2023,05:26:14
Terrenos,,R$ 245.000,,Vargem Grande Paulista,SP,360m²,XAVIER IMÓVEIS LTDA,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-loteamento-fechado-360-m-por-r-245-000-00-residencial-belbancy-va-1036886298,24/Mar/2023,05:26:14
Terrenos,,R$ 420.000,,Vargem Grande Paulista,SP,750m²,Imobiliária Web Imóveis,26/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/vargem-grande-paulista-loteamento-condominio-terras-de-santa-adelia-1151791854,24/Mar/2023,05:26:14
Terrenos,,R$ 258.890,,Vargem Grande Paulista,SP,380m²,XAVIER IMÓVEIS LTDA,27/02/2023,https://sp.olx.com.br/sao-paulo-e-regiao/terrenos/terreno-a-venda-em-loteamento-fechado-380-41-m-por-r-258-890-00-residencial-belbancy-1038596697,24/Mar/2023,05:26:14
