tipo,quartos,preço,bairro,cidade,estado,área construida,anunciante,data do anuncio,url,data da coleta,hora da coleta
Terrenos,,R$ 1.500.000,,Lajeado,TO,927m²,CENTRO DE NEGÓCIOS INVISTTA LTDA - ME,24/08/2023,https://to.olx.com.br/tocantins/terrenos/area-a-venda-926-m-por-r-1-500-000-00-to-010-palmas-to-1226014988,08/Oct/2023,21:22:26
Terrenos,,R$ 22.000,,Lajeado,TO,,A10,20/09/2023,https://to.olx.com.br/tocantins/terrenos/vedem-se-ou-troco-lote-top-em-lajeado-1235706708,08/Oct/2023,21:22:26
Terrenos,,R$ 160.000,,Lajeado,TO,2825m²,imobiliária Sonhar,17/05/2023,https://to.olx.com.br/tocantins/terrenos/terreno-em-lajeado-2536-m-1186226629,08/Oct/2023,21:22:26
Venda - casa em condominio fechado,3,R$ 580.000,,Lajeado,TO,128m²,Roberto Freire Vilanova,04/06/2023,https://to.olx.com.br/tocantins/imoveis/casa-de-condominio-para-venda-tem-128-metros-quadrados-com-3-quartos-1193970238,08/Oct/2023,21:22:26
Terrenos,,R$ 25.000,,Lajeado,TO,360m²,paulohenriquesantana58,30/08/2023,https://to.olx.com.br/tocantins/terrenos/lote-em-lajeado-to-12x30-proximo-a-praia-do-segredo-1228361125,08/Oct/2023,21:22:26
Venda - casa em rua pública,2,R$ 75.000,,Lajeado,TO,59330m²,galego serralheiro,29/08/2023,https://to.olx.com.br/tocantins/imoveis/casa-em-lajeado-bem-no-centro-em-frente-ao-posto-de-saude-da-cidade-1227884362,08/Oct/2023,21:22:27
Venda - casa em rua pública,3,R$ 95.000,,Lajeado,TO,360m²,Maria,23/08/2023,https://to.olx.com.br/tocantins/imoveis/casa-perto-da-montanha-a-venda-1225366533,08/Oct/2023,21:22:27
Terrenos,,R$ 15.000,,Lajeado,TO,2000m²,matheus,13/09/2023,https://to.olx.com.br/tocantins/terrenos/lotes-ou-area-escriturada-1233136183,08/Oct/2023,21:22:27
Terrenos,,R$ 20.000,,Lajeado,TO,360m²,gleison.300,11/09/2023,https://to.olx.com.br/tocantins/terrenos/lote-1232349620,08/Oct/2023,21:22:27
Terrenos,,R$ 200.000,,Lajeado,TO,3600m²,CENTRO DE NEGÓCIOS INVISTTA LTDA - ME,23/03/2023,https://to.olx.com.br/tocantins/terrenos/terreno-a-venda-3600-m-por-r-200-000-00-centro-lajeado-to-1048638685,08/Oct/2023,21:22:27
